// Metadata
{"description": "Metadata for Shakespeare binary classification dataset. Both WS's work and those of his contemporaries are included in sentence form.", "authors": [["shakespeare", 0], ["dekker", 1], ["jonson", 2], ["middleton", 4], ["marlowe", 5]], "works": [{"id": 0, "author": 1, "title": "The Pleasant Comedie of Old Fortunatus", "filename": "processed/fortunatus_dekker.txt"}, {"id": 1, "author": 0, "title": "All's Well That Ends Well", "filename": "processed/endswell_shakespeare.txt"}, {"id": 2, "author": 1, "title": "The Noble Spanish Soldier", "filename": "processed/spanish_dekker.txt"}, {"id": 3, "author": 0, "title": "As You Like It", "filename": "processed/likeit_shakespeare.txt"}, {"id": 4, "author": 2, "title": "The Alchemist", "filename": "processed/alchemist_jonson.txt"}, {"id": 5, "author": 0, "title": "Antony and Cleopatra", "filename": "processed/antony_shakespeare.txt"}, {"id": 6, "author": 4, "title": "A Chaste Maid in Cheapside", "filename": "processed/chastemaid_middleton.txt"}, {"id": 7, "author": 0, "title": "A Comedy of Errors", "filename": "processed/comedyoferrors_shakespeare.txt"}, {"id": 8, "author": 0, "title": "Coriolanus", "filename": "processed/coriolanus_shakespeare.txt"}, {"id": 9, "author": 0, "title": "Cymbeline", "filename": "processed/cymbeline_shakespeare.txt"}, {"id": 10, "author": 5, "title": "Dido (Act I)", "filename": "processed/dido_i_marlowe.txt"}, {"id": 11, "author": 5, "title": "Dido (Act II)", "filename": "processed/dido_ii_marlowe.txt"}, {"id": 12, "author": 5, "title": "Dido (Act III)", "filename": "processed/dido_iii_marlowe.txt"}, {"id": 13, "author": 5, "title": "Dido (Act IV)", "filename": "processed/dido_iv_marlowe.txt"}, {"id": 14, "author": 5, "title": "Dido (Act V)", "filename": "processed/dido_v_marlowe.txt"}, {"id": 15, "author": 5, "title": "The Tragical History of the Life and Death of Doctor Faustus", "filename": "processed/faustus_marlowe.txt"}, {"id": 16, "author": 4, "title": "Your Five Gallants", "filename": "processed/fivegallants_middleton.txt"}, {"id": 17, "author": 0, "title": "Hamlet", "filename": "processed/hamlet_shakespeare.txt"}, {"id": 18, "author": 4, "title": "Hengist and Horsa", "filename": "processed/hengist_middleton.txt"}, {"id": 19, "author": 0, "title": "Henry IV, Part 1", "filename": "processed/hen_iv_i_shakespeare.txt"}, {"id": 20, "author": 0, "title": "Henry IV, Part 2", "filename": "processed/hen_iv_ii_shakespeare.txt"}, {"id": 21, "author": 5, "title": "The Jew of Malta (Act I)", "filename": "processed/jewofmalta_i_marlowe.txt"}, {"id": 22, "author": 5, "title": "The Jew of Malta (Act II)", "filename": "processed/jewofmalta_ii_marlowe.txt"}, {"id": 23, "author": 5, "title": "The Jew of Malta (Act III)", "filename": "processed/jewofmalta_iii_marlowe.txt"}]}

// (sentence, author_id, work_id)
('i would haue either drunke his dying bloud or els i would haue giuen my life in gage huntsmen why pitch you not your toyles apace and rowse the light foote deere from forth their laire sister see see ascanius in his pompe bearing his huntspeare brauely in his hand yea little sonne are you so forward now i mother i shall one day be a man and better able vnto other armes meane time', 5, 12)
("i am here who's that —he's come i think doctor good faith sir i was going away in truth i am very sorry captain but i thought i should meet you ay i am very glad i had a scurvy writ or two to make and i had lent my watch last night to one that dines to day at the sheriff's and so was robb'd of my past time is this the cunning man", 2, 4)
("cold upon dead caesar's trencher nay you were a fragment of cneius pompey's besides what hotter hours unregister'd in vulgar fame you have luxuriously pick'd out for i am sure though you can guess what temperance should be you know not what it is wherefore is this to let a fellow that will take rewards and say 'god quit you ' be familiar with my playfellow your hand this kingly seal and plighter of high", 0, 5)
("to him comfort him do most dear queen do why what else let me sit down o juno no no no no no see you here sir o fie fie fie madam madam o good empress sir sir yes my lord yes he at philippi kept his sword e'en like a dancer while i struck the lean and wrinkled cassius and 'twas i that the mad brutus ended he alone dealt on lieutenantry and no", 0, 5)
("no sin to cozen him that would unjustly win you have not given him his mother's letter i have delivered it an hour since there is something in't that stings his nature for on the reading it he changed almost into another man he has much worthy blame laid upon him for shaking off so good a wife and so sweet a lady especially he hath incurred the everlasting displeasure of the king who had", 0, 1)
("thee for an epistle thou mad'st in latin thou art a good forward boy there's great joy on thee o sorrow heart will nothing comfort him if he be so far gone 'tis time to moan here's pen and ink and paper and all things ready will't please your worship for to make your will my will yes yes what else who writes apace now that can your man davy an't like your worship a", 4, 6)
("with trees upon't that nod unto the world and mock our eyes with air thou hast seen these signs they are black vesper's pageants ay my lord that which is now a horse even with a thought the rack dislimns and makes it indistinct as water is in water it does my lord my good knave eros now thy captain is even such a body here i am antony yet cannot hold this visible shape", 0, 5)
("dog and a bell but i'll tell't you unreasonable folly 'tis sign of war when great ones disagree look to the rebel well till i can see and when my sight's recover'd i'll have his eyes put out for a fortnight hang thee mine eyes a deadly sin or two shall pluck 'em out first that's my resolution my lord the castle is so fortify'd so fortify'd let wildfire ruin it that his destruction may", 4, 18)
("one coal we have deserved it faith we hear fearful news for mine own part when i said banish him i said 'twas pity and so did i and so did i and to say the truth so did very many of us that we did we did for the best and though we willingly consented to his banishment yet it was against our will ye re goodly things you voices you have made good", 0, 8)
("aediles down with him down with him weapons weapons weapons 'tribunes ' 'patricians ' 'citizens ' 'what ho ' 'sicinius ' 'brutus ' 'coriolanus ' 'citizens ' 'peace peace peace ' 'stay hold peace ' what is about to be i am out of breath confusion's near i cannot speak you tribunes to the people coriolanus patience speak good sicinius hear me people peace let's hear our tribune peace speak speak speak you are at", 0, 8)
("of rice i hold my head my master's hungry i go sir thus every villain ambles after wealth although he ne'er be richer than in hope but husht here 'tis master well said ithamore what hast thou brought the ladle with thee too yes sir the proverb says he that eats with the devil had need of a long spoon 1 i have brought you a ladle very well ithamore then now be secret and", 5, 23)
("still mine enemy thou shouldst have better pleased me with this deed hadst thou descended from another house but fare thee well thou art a gallant youth i would thou hadst told me of another father were i my father coz would i do this i am more proud to be sir rowland's son his youngest son and would not change that calling to be adopted heir to frederick my father loved sir rowland as", 0, 3)
("the least advantage sir so are you but i scarce remember you sir o i cry you mercy sir i pray pardon me i fear i have tendered an offence sir troth i took you at the first for one master dumpling a norfolk gentleman there's no harm done yet sir no by troth have i not this labour's lost 'tis in the right pocket and he kept that hand in sure enough like a", 4, 16)
("backe i heare her crye a farre and let me linke my bodie to my lips that tyed together by the striuing tongues we may as one saile into italy banish that ticing dame from forth your mouth and follow your foreseeing starres in all this is no life for men at armes to liue where daliance doth consume a souldiers strength and wanton motions of alluring eyes effeminate our mindes inur'd to warre why", 5, 13)
('him sad say i am dancing if in mirth report that i am sudden sick quick and return madam methinks if you did love him dearly you do not hold the method to enforce the like from him what should i do i do not in each thing give him way cross him nothing thou teachest like a fool the way to lose him tempt him not so too far i wish forbear in time', 0, 5)
("that the sleeping man should stir for 'tis the royal disposition of that beast to prey on nothing that doth seem as dead this seen orlando did approach the man and found it was his brother his elder brother o i have heard him speak of that same brother and he did render him the most unnatural that lived amongst men and well he might so do for well i know he was unnatural but", 0, 3)
("ranges frighted each other why should he follow the itch of his affection should not then have nick'd his captainship at such a point when half to half the world opposed he being the meered question 'twas a shame no less than was his loss to course your flying flags and leave his navy gazing prithee peace is that his answer ay my lord the queen shall then have courtesy so she will yield us", 0, 5)
("him quit him an hell would quit him too he were happy 'slight would you have me stalk like a mill jade all day for one that will not yield us grains i know him of old o but to have gull'd him had been a mastery let him go black boy and turn thee that some fresh news may possess thee a noble count a don of spain my dear delicious compeer and my", 2, 4)
("of york douglas mortimer capitulate against us and are up but wherefore do i tell these news to thee why harry do i tell thee of my foes which art my near'st and dearest enemy thou that art like enough through vassal fear base inclination and the start of spleen to fight against me under percy's pay to dog his heels and curtsy at his frowns to show how much thou art degenerate do not", 0, 19)
("for luxury and damned incest but howsoever thou pursuest this act taint not thy mind nor let thy soul contrive against thy mother aught leave her to heaven and to those thorns that in her bosom lodge to prick and sting her fare thee well at once the glow worm shows the matin to be near and 'gins to pale his uneffectual fire adieu adieu hamlet remember me o all you host of heaven o", 0, 17)
("lord of such a spirit before i loved thee as a brother john but now i do respect thee as my soul i saw him hold lord percy at the point with lustier maintenance than i did look for of such an ungrown warrior o this boy lends mettle to us all another king they grow like hydra's heads i am the douglas fatal to all those that wear those colours on them what art", 0, 19)
("fear all will be overturn'd good morrow cousin warwick good morrow good morrow cousin we meet like men that had forgot to speak we do remember but our argument is all too heavy to admit much talk well peace be with him that hath made us heavy peace be with us lest we be heavier o good my lord you have lost a friend indeed and i dare swear you borrow not that face of", 0, 20)
("now triumphs so where's virtuous ampedo see he's her slave for following thee this recompense they have is ampedo her slave why that's my glory the idiot's cap i once wore on my head did figure him those that like him do muffle virtue in clouds and care not how she shine i'll make their glory like to his decline he made no use of me but like a miser locked up his wealth in", 1, 0)
("thy time but also how thou art accompanied for though the camomile the more it is trodden on the faster it grows yet youth the more it is wasted the sooner it wears that thou art my son i have partly thy mother's word partly my own opinion but chiefly a villanous trick of thine eye and a foolish hanging of thy nether lip that doth warrant me if then thou be son to me", 0, 19)
("roxena you remember what more dear sir i see you need no help your memory's clear sir shout and flourish those shouts leapt from our army they were too cheerful to voice a bad event now sir your news roxena the fair true she shall be sent for she's here what sayst she's come sir begins me o'er again followed you close sir with such a zeal as daughter never equall'd expos'd herself to all", 4, 18)
("no such purpose i must give myself some hurts and say i got them in exploit yet slight ones will not carry it they will say 'came you off with so little ' and great ones i dare not give wherefore what's the instance tongue i must put you into a butter woman's mouth and buy myself another of bajazet's mule if you prattle me into these perils is it possible he should know what", 0, 1)
("shame to beggary to hell must run o conscience hold thy sting cease to afflict me be quick tormentors i desire to die no death is equal to my misery cyprus vain world and vanity farewell who builds his heaven on earth is sure of hell he's dead in some deep vault let's throw their bodies first let us see the purse lord longaville here 'tis by this we'll fill this tower with gold frenchman", 1, 0)
("all would'st not trust an almanac not a coranta 44 neither though it were sealed with butter 45 and yet i know where they both lie passing well the king sends round about the court to seek you away otterhound dancing bear i'm gone a private room i'st done hast drawn thy two edged sword out yet no i was striking at the two iron bars that hinder your passage and see sir draws what", 1, 2)
("the policy inhuman practice now you know the truth will his death serve your fury mine my death will't do't what if it would say will it do't say they should say it would why then it must it must it shall speak but the words my lord he shall be yielded up i yielded up my lords believe him not he cannot do't cannot 'tis but a false and base insinuation for his own", 4, 18)
('gentlewoman what is the course and drift of your compact i sir i never saw her till this time villain thou liest for even her very words didst thou deliver to me on the mart i never spake with her in all my life how can she thus then call us by our names unless it be by inspiration how ill agrees it with your gravity to counterfeit thus grossly with your slave abetting him', 0, 7)
("use it oft let me entreat you in faith my lord you are too wilful blame and since your coming hither have done enough to put him quite beside his patience you must needs learn lord to amend this fault though sometimes it show greatness courage blood and that's the dearest grace it renders you yet oftentimes it doth present harsh rage defect of manners want of government pride haughtiness opinion and disdain the least", 0, 19)
("of our conference in bed he slept not for my urging it at board he fed not for my urging it alone it was the subject of my theme in company i often glanced it still did i tell him it was vile and bad and thereof came it that the man was mad the venom clamours of a jealous woman poisons more deadly than a mad dog's tooth it seems his sleeps were hinder'd", 0, 7)
("it may be so if he have robb'd these men he shall be answerable and so farewell good night my noble lord i think it is good morrow is it not indeed my lord i think it be two o'clock this oily rascal is known as well as paul's go call him forth falstaff fast asleep behind the arras and snorting like a horse hark how hard he fetches breath search his pockets what hast", 0, 19)
("they did when i was in the city are they so followed no indeed are they not how comes it do they grow rusty nay their endeavour keeps in the wonted pace but there is sir an aery of children little eyases that cry out on the top of question and are most tyrannically clapped for't these are now the fashion and so berattle the common stages so they call them that many wearing rapiers", 0, 17)
('quiuer to my side lords goe before we two must talke alone vngentle can she wrong iarbus so ile dye before a stranger haue that grace we two will talke alone what words be these what makes iarbus here of all the rest we could haue gone without your companie but loue and duetie led him on perhaps to presse beyond acceptance to your sight why man of troy doe i offend thine eyes or', 5, 12)
("this is the cypriot forgive me 'twas not i that changed thy purse but athelstane my father send me home and here's thy purse again here are thy jewels and i in satisfaction of all wrongs— talk not you of satisfaction this is some recompense that i have you 'tis not the purse i regard put it off and i'll mince it as small as pie meat the purse hang the purse were that gone", 1, 0)
("i am charmed sir watch valasco if any wear a cross feather or glove or such prodigious signs of a knit faction table their names up at our court gate plant good strength to bar them out if once they swarm do this upon thy life not death shall fright me 'tis done sir death what's done young cub's flayed but the she fox shifting her hole is fled the little jackanapes the boy's brained", 1, 2)
("own but he added to your having gave you some ground i would they had not come between us a fool you were upon the ground and that she should love this fellow and refuse me is damned sir as i told you always her beauty and her brain go not together she's a good sign but i have seen small reflection of her wit reflection should hurt her come i'll to my chamber would", 0, 9)
("note well may make too great an act for learn this silius better to leave undone than by our deed acquire too high a fame when him we serve's away caesar and antony have ever won more in their officer than person sossius one of my place in syria his lieutenant for quick accumulation of renown which he achieved by the minute lost his favour who does i' the wars more than his captain can", 0, 5)
("the world's a stage and all the men and women merely players they have their exits and their entrances and one man in his time plays many parts his acts being seven ages at first the infant mewling and puking in the nurse's arms and then the whining school boy with his satchel and shining morning face creeping like snail unwillingly to school and then the lover sighing like furnace with a woeful ballad made", 0, 3)
('land and all the fruites that plentie els sends forth scorning our loues and royall marriage rites yeelds vp her beautie to a strangers bed who hauing wrought her shame is straight way fled now if thou beest a pitying god of power on whom ruth and compassion euer waites redresse these wrongs and warne him to his ships that now afflicts me with his flattering eyes how now iarbus at your prayers so hard', 5, 13)
("for goblins and therefore i will do it sir i did recoil because i was double charged no more here comes a satyr with sharp horns sir here's a frenchman charged with some strange business which to close ear only he'll deliver or else to none a frenchman oui monsieur cannot he speak the spanish si signor un poco monsieur acontez in de corner me come for offer to your bon grace mi trezhumbla service", 1, 2)
("unto young hamlet for upon my life this spirit dumb to us will speak to him do you consent we shall acquaint him with it as needful in our loves fitting our duty let's do't i pray and i this morning know where we shall find him most conveniently though yet of hamlet our dear brother's death the memory be green and that it us befitted to bear our hearts in grief and our whole", 0, 17)
("soldier whose quality going on the sides o' the world may danger much is breeding which like the courser's hair hath yet but life and not a serpent's poison say our pleasure to such whose place is under us requires our quick remove from hence i shall do't where is he i did not see him since see where he is who's with him what he does i did not send you if you find", 0, 5)
("what raynulph monk of chester can raise from his polychronicon that raises him as works do men to see light so long parted with again that best may please this round fair ring with sparkling judgments circled in can win the grace of two poor hours well a paid i go to rest ancient stories have been best fashions that are now call'd new have been worn by more than you elder times have us'd", 4, 18)
("in thee and on that hope my happiness is built when saw'st thou abigail to day with whom a friar a friar false villain he hath done the deed how sir why made mine abigail a nun that's no lie for she sent me for him o unhappy day false credulous inconstant abigail but let 'em go and ithamore from hence ne'er shall she grieve me more with her disgrace ne'er shall she live to", 5, 23)
('that he swore to take our lives the law protects not us then why should we be tender to let an arrogant piece of flesh threat us play judge and executioner all himself for we do fear the law what company discover you abroad no single soul can we set eye on but in all safe reason he must have some attendants though his humour was nothing but mutation ay and that from one bad', 0, 9)
('this curtesie now will i haste vnto lauinian shoare and raise a new foundation to old troy witnes the gods and witnes heauen and earth how loth i am to leaue these libian bounds but that eternall iupiter commands i feare i sawe æneas little sonne led by achates to the troian fleete if it be so his father meanes to flye but here he is now dido trie thy wit æneas wherefore goe thy', 5, 14)
("his thongs i'll run with your worship's answer that fellow will be roasted against supper he's half enough already his brows baste him the king of kent the king of kirsendom shall not be better welcome to me for you must imagine now neighbours this is the time that kent stands out of kirsendom for he that's king there now was never kirsen'd this for your more instruction i thought fit that when y'are dead", 4, 18)
("sir really what imports the nomination of this gentleman of laertes his purse is empty already all's golden words are spent of him sir i know you are not ignorant i would you did sir yet in faith if you did it would not much approve me well sir you are not ignorant of what excellence laertes is i dare not confess that lest i should compare with him in excellence but to know a", 0, 17)
('dies thou shalt be his heir for what he hath taken away from thy father perforce i will render thee again in affection by mine honour i will and when i break that oath let me turn monster therefore my sweet rose my dear rose be merry from henceforth i will coz and devise sports let me see what think you of falling in love marry i prithee do to make sport withal but love', 0, 3)
("viewing his progress through what perils past what crosses to ensue would shut the book and sit him down and die 'tis not 'ten years gone since richard and northumberland great friends did feast together and in two years after were they at wars it is but eight years since this percy was the man nearest my soul who like a brother toil'd in my affairs and laid his love and life under my foot", 0, 20)
("most certain up from my cabin my sea gown scarf'd about me in the dark groped i to find out them had my desire finger'd their packet and in fine withdrew to mine own room again making so bold my fears forgetting manners to unseal their grand commission where i found horatio o royal knavery an exact command larded with many several sorts of reasons importing denmark's health and england's too with ho such bugs", 0, 17)
("wind we will be brave puffe now we have the med'cine my meat shall all come in in indian shells dishes of agat set in gold and studded with emeralds sapphires hyacinths and rubies the tongues of carps dormice and camels' heels boil'd in the spirit of sol and dissolv'd pearl apicius' diet 'gainst the epilepsy and i will eat these broths with spoons of amber headed with diamond and carbuncle my foot boy shall", 2, 4)
("wars upon pompey this is old what is the success caesar having made use of him in the wars 'gainst pompey presently denied him rivality would not let him partake in the glory of the action and not resting here accuses him of letters he had formerly wrote to pompey upon his own appeal seizes him so the poor third is up till death enlarge his confine then world thou hast a pair of chaps", 0, 5)
("gentleman come here disguised only to find the knaveries of this citadel and where i might have wrong'd your honour and have not i claim some interest in your love you are they say a widow rich and i'm a batchelor worth nought your fortunes may make me a man as mine have preserv'd you a woman think upon it and whether i have deserv'd you or no dame p i will sir and for", 2, 4)
("a sight it well becomes the ground cry 'holla' to thy tongue i prithee it curvets unseasonably he was furnished like a hunter o ominous he comes to kill my heart i would sing my song without a burden thou bringest me out of tune do you not know i am a woman when i think i must speak sweet say on you bring me out soft comes he not here 'tis he slink by", 0, 3)
("way the other course will prove too bloody and the end of it unknown to the beginning noble menenius be you then as the people's officer masters lay down your weapons go not home meet on the market place we'll attend you there where if you bring not marcius we'll proceed in our first way i'll bring him to you let me desire your company he must come or what is worst will follow pray", 0, 8)
("i will be brief your noble son is mad mad call i it for to define true madness what is't but to be nothing else but mad but let that go more matter with less art madam i swear i use no art at all that he is mad 'tis true 'tis true 'tis pity and pity 'tis 'tis true a foolish figure but farewell it for i will use no art mad let us", 0, 17)
("becomes his captain's captain and ambition the soldier's virtue rather makes choice of loss than gain which darkens him i could do more to do antonius good but 'twould offend him and in his offence should my performance perish thou hast ventidius that without the which a soldier and his sword grants scarce distinction thou wilt write to antony i'll humbly signify what in his name that magical word of war we have effected how", 0, 5)
("ready sense then straight his doubled spirit re quicken'd what in flesh was fatigate and to the battle came he where he did run reeking o'er the lives of men as if 'twere a perpetual spoil and till we call'd both field and city ours he never stood to ease his breast with panting worthy man he cannot but with measure fit the honours which we devise him our spoils he kick'd at and look'd", 0, 8)
("o when she is dead this wonder beauty shall be found in none now agripyne's not mine i vow to be in love with nothing but deformity o fair deformity i muse all eyes are not enamoured of thee thou didst never murder men's hearts or let them pine like wax melting against the sun of destiny thou art a faithful nurse to chastity thy beauty is not like to agripyne's for cares and age", 1, 0)
("me of corn this was my speech and i will speak't again not now not now not in this heat sir now now as i live i will my nobler friends i crave their pardons for the mutable rank scented many let them regard me as i do not flatter and therein behold themselves i say again in soothing them we nourish 'gainst our senate the cockle of rebellion insolence sedition which we ourselves have", 0, 8)
("sweet robe of durance how now how now mad wag what in thy quips and thy quiddities what a plague have i to do with a buff jerkin why what a pox have i to do with my hostess of the tavern well thou hast called her to a reckoning many a time and oft did i ever call for thee to pay thy part no i'll give thee thy due thou hast paid all", 0, 19)
("sir and for mine sir i will govern it fare you well go this doll tearsheet should be some road i warrant you as common as the way between saint alban's and london how might we see falstaff bestow himself to night in his true colours and not ourselves be seen put on two leathern jerkins and aprons and wait upon him at his table as drawers from a god to a bull a heavy", 0, 20)
("fist him once an a' come but within my vice mistress quickly i am undone by his going i warrant you he's an infinitive thing upon my score good master fang hold him sure good master snare let him not 'scape a' comes continuantly to pie corner saving your manhoods to buy a saddle and he is indited to dinner to the lubber's head in lumbert street to master smooth's the silkman i pray ye", 0, 20)
("or death here take his triple crown along with you and leave it in the church's treasury make haste again my good lord cardinals and take our blessing apostolical the cardinals will be plagu'd for this anon go presently and bring a banquet forth that we may solemnize saint peter's feast and with lord raymond king of hungary drink to our late and happy victory a sennet while the banquet is brought in and then", 5, 15)
("brave fellow too we are the grains you are the musty chaff and you are smelt above the moon we must be burnt for you nay pray be patient if you refuse your aid in this so never needed help yet do not upbraid's with our distress but sure if you would be your country's pleader your good tongue more than the instant army we can make might stop our countryman no i'll not meddle", 0, 8)
("guilt do not itself unkennel in one speech it is a damned ghost that we have seen and my imaginations are as foul as vulcan's stithy give him heedful note for i mine eyes will rivet to his face and after we will both our judgments join in censure of his seeming well my lord if he steal aught the whilst this play is playing and 'scape detecting i will pay the theft they are", 0, 17)
("of the city of london dugat a whee you can thank me in english if you list i can sir simply mum mum sir here you must pass for a pure virgin i hear you mumble davy i have teeth sir i need not mumble yet this forty years the knave bites plaguily what's your price sir a hundred pound sir a hundred marks the utmost 'tis not for me else what sir walter whorehound", 4, 6)
("grounded in astrology enrich'd with tongues well seen in minerals hath all the principles magic doth require then doubt not faustus but to be renowm'd and more frequented for this mystery than heretofore the delphian oracle the spirits tell me they can dry the sea and fetch the treasure of all foreign wrecks yea all the wealth that our forefathers hid within the massy entrails of the earth then tell me faustus what shall we", 5, 15)
("that i knew this husband which you say must charge his horns with garlands soothsayer your will is this the man is't you sir that know things in nature's infinite book of secrecy a little i can read show him your hand bring in the banquet quickly wine enough cleopatra's health to drink good sir give me good fortune i make not but foresee pray then foresee me one you shall be yet far fairer", 0, 5)
("children i' faith his hair is of a good colour an excellent colour your chestnut was ever the only colour and his kissing is as full of sanctity as the touch of holy bread he hath bought a pair of cast lips of diana a nun of winter's sisterhood kisses not more religiously the very ice of chastity is in them but why did he swear he would come this morning and comes not nay", 0, 3)
("purpose it is not worth the wagging of your beards and your beards deserve not so honourable a grave as to stuff a botcher's cushion or to be entombed in an ass's pack saddle yet you must be saying marcius is proud who in a cheap estimation is worth predecessors since deucalion though peradventure some of the best of 'em were hereditary hangmen god den to your worships more of your conversation would infect my", 0, 8)
("like your kennels of hounds yelping after you till they pluck down the fairest head in the herd everlasting bliss any more take sin as the english snuff tobacco and scornfully blow the smoke in the eyes of heaven the vapour flies up in clouds of bravery but when 'tis out the coal is black your conscience and the pipe stinks a sea of rosewater cannot sweeten your corrupted bosom nay spit thy venom 'tis", 1, 2)
('therewithal sir half is the penalty of our decree either pay that or we will seize on all corpo di dio stay you shall have the half let me be used but as my brethren are no jew thou hast denied the articles and now it cannot be recalled will you then steal my goods is theft the ground of your religion no jew we take particularly thine to save the ruin of a multitude', 5, 21)
